NUM DRONES,19
NUM TRUCKS,10
TRUCK CAP,1300.0
DRONE CAP,2.27
TRUCK SPEED,30.0
DRONE SPEED,40.0
DRONE ENDURANCE,0.68
DRONE TIME LIMIT,8.0
TRUCK TIME LIMIT,8.0
TRUCK UNIT COST,0.36
DRONE UNIT COST,0.03
0	15.55	24.41	0.00
1	22.53	1.18	2.07
2	25.71	10.21	6.39
3	4.51	4.14	1.51
4	29.99	24.82	2.13
5	1.93	24.48	1.63
6	27.44	26.17	0.57
7	15.92	6.54	1.49
8	10.09	21.00	0.81
9	7.14	0.09	2.08
10	18.94	31.53	0.28
11	10.91	24.03	1.29
12	22.36	28.56	0.95
13	9.12	15.79	1.27
14	18.24	7.94	28.47
15	10.71	9.31	1.88
16	3.05	18.64	1.82
17	29.30	11.35	0.76
18	3.58	7.45	1.29
19	28.27	18.93	1.31
20	3.66	3.96	1.38
21	3.66	32.37	1.74
22	25.11	22.93	1.75
23	12.06	9.86	0.73
24	31.51	29.96	0.73
25	28.19	16.97	2.16
26	15.85	30.59	0.54
27	34.17	13.60	0.89
28	34.63	30.29	1.77
29	5.28	27.46	0.93
30	33.59	13.14	1.38
31	16.12	7.09	0.33
32	19.09	21.58	0.88
33	28.31	5.35	1.26
34	6.85	25.24	1.75
35	15.04	16.30	1.81
36	9.64	30.44	1.80
37	9.53	0.14	37.55
38	20.14	23.57	0.63
39	7.04	3.95	1.22
40	33.96	21.21	0.46
41	27.90	23.97	1.77
42	10.28	12.78	0.58
43	26.67	17.64	0.72
44	3.12	34.72	1.41
45	29.61	32.43	0.63
46	17.53	12.68	0.25
47	6.90	7.19	1.49
48	25.92	25.44	1.27
49	25.42	21.78	1.51
50	7.52	22.34	2.06
51	17.33	25.80	1.19
52	19.79	5.26	2.22
53	4.05	10.87	1.21
54	19.55	34.20	0.58
55	12.73	3.63	0.82
56	3.30	5.71	0.52
57	30.33	22.78	1.30
58	12.73	7.78	28.15
59	21.23	16.08	0.48
60	0.32	13.36	1.81
61	9.63	12.25	1.79
62	0.76	34.45	0.73
63	33.30	14.78	0.53
64	33.52	16.07	2.16
65	12.20	9.63	1.83
66	15.01	34.79	1.16
67	5.61	15.87	39.34
68	10.97	25.28	1.02
69	14.38	25.13	1.43
70	12.39	6.02	0.35
71	13.40	16.21	1.33
72	4.66	23.81	1.27
73	6.35	14.16	0.47
74	1.46	0.88	1.99
75	21.77	23.54	0.49
76	22.03	17.70	0.55
