NUM DRONES,16
NUM TRUCKS,10
TRUCK CAP,1300.0
DRONE CAP,2.27
TRUCK SPEED,30.0
DRONE SPEED,40.0
DRONE ENDURANCE,0.72
DRONE TIME LIMIT,8.0
TRUCK TIME LIMIT,8.0
TRUCK UNIT COST,1.24
DRONE UNIT COST,0.03
0	5.69	0.08	0.00
1	25.14	16.99	1.24
2	3.28	2.57	2.11
3	17.96	27.37	2.01
4	13.68	7.31	2.00
5	7.63	0.25	1.77
6	16.56	3.25	0.23
7	1.61	15.27	2.15
8	23.04	12.51	1.68
9	1.26	18.38	0.78
10	19.92	14.40	2.13
11	0.40	26.54	0.69
12	5.57	0.27	2.15
13	8.28	10.63	1.02
14	15.13	15.14	2.14
15	19.46	18.81	1.48
16	22.81	17.75	1.79
17	11.79	13.36	0.04
18	7.91	14.01	14.27
19	8.47	0.18	1.65
20	27.33	5.45	1.63
21	15.32	18.79	1.79
22	6.78	16.96	0.35
23	2.87	12.98	2.26
24	19.71	13.99	1.71
25	19.01	3.92	1.28
26	12.84	6.65	1.51
27	17.13	16.27	21.44
28	26.54	23.15	0.03
29	9.54	14.54	1.36
30	7.84	2.33	1.92
31	20.11	26.41	1.29
32	27.75	27.60	1.76
33	8.11	7.83	2.22
34	11.90	26.81	1.77
35	1.87	1.12	1.82
36	20.00	17.28	0.90
37	4.31	9.25	0.50
38	27.23	20.62	2.25
39	21.52	25.08	0.58
40	20.64	9.78	22.81
41	17.04	21.08	1.03
42	9.67	2.43	2.07
43	24.18	1.65	1.63
44	23.14	15.66	0.55
45	11.37	11.73	58.31
46	14.93	5.62	0.98
47	16.24	26.39	0.38
48	2.03	22.98	0.66
49	23.11	14.72	1.45
50	2.90	25.22	50.47
51	9.40	17.05	0.67
52	23.02	13.03	1.56
53	22.03	0.72	1.59
54	22.70	17.39	1.59
55	19.95	18.00	1.06
