NUM DRONES,18
NUM TRUCKS,10
TRUCK CAP,1300.0
DRONE CAP,2.27
TRUCK SPEED,30.0
DRONE SPEED,40.0
DRONE ENDURANCE,0.54
DRONE TIME LIMIT,2.93
TRUCK TIME LIMIT,6.65
TRUCK UNIT COST,1.48
DRONE UNIT COST,0.03
0	17.50	17.50	0.00
1	18.40	13.11	2.53
2	16.32	31.34	1.57
3	28.37	2.69	29.96
4	14.72	39.56	2.12
5	34.35	17.03	20.81
6	25.54	22.28	0.01
7	6.77	35.14	2.89
8	39.08	7.25	1.00
9	27.74	24.03	6.58
10	0.91	24.50	41.89
11	39.59	1.02	0.66
12	0.87	30.38	33.89
13	35.60	10.42	2.64
14	38.49	25.05	1.64
15	34.47	18.84	26.96
16	23.47	22.28	49.69
17	9.89	12.89	11.63
18	15.58	35.62	1.07
19	17.26	31.52	47.96
20	21.93	18.55	1.50
21	2.52	28.12	29.50
22	26.81	0.68	2.59
23	33.25	11.29	37.77
24	19.21	7.17	38.64
25	5.47	10.79	1.10
26	26.59	13.71	23.68
27	9.37	30.25	2.59
28	18.97	30.94	37.77
29	30.82	39.00	22.47
30	36.65	25.42	21.03
31	33.33	25.78	1.07
32	36.41	28.02	40.67
33	12.90	12.66	0.73
34	15.59	35.07	47.83
35	1.83	36.38	34.47
36	23.12	30.77	42.04
37	39.97	13.01	38.07
38	21.35	34.19	22.71
39	13.46	19.43	2.86
40	35.92	20.99	0.17
41	3.65	29.27	2.39
42	4.57	7.88	0.41
43	28.81	13.89	29.19
44	36.83	10.73	0.22
45	30.20	37.87	2.26
46	7.66	29.51	1.35
47	36.45	18.77	0.47
48	20.41	33.99	2.30
49	21.98	19.95	2.21
50	30.90	24.98	1.64
