NUM DRONES,5
NUM TRUCKS,10
TRUCK CAP,1300.0
DRONE CAP,2.27
TRUCK SPEED,30.0
DRONE SPEED,40.0
DRONE ENDURANCE,0.97
DRONE TIME LIMIT,4.24
TRUCK TIME LIMIT,4.13
TRUCK UNIT COST,0.52
DRONE UNIT COST,0.03
0	15.00	15.00	0.00
1	28.71	11.67	0.52
2	38.01	8.92	2.19
3	20.14	21.72	1.30
4	11.85	12.71	32.36
5	11.84	35.12	10.06
6	4.08	17.18	1.57
7	25.50	27.61	45.39
8	33.30	11.25	22.55
9	34.35	6.90	0.77
10	23.56	26.49	2.25
11	24.64	8.25	1.16
12	38.94	11.01	19.87
13	35.68	20.18	15.06
14	36.02	3.17	1.18
15	10.98	1.01	46.52
16	6.21	3.28	1.11
17	5.95	3.06	1.53
18	15.89	5.45	33.87
19	25.15	1.30	0.01
20	17.58	26.68	1.67
21	20.73	24.01	49.57
22	29.37	35.06	2.28
23	2.14	7.73	0.38
24	26.66	31.72	20.57
25	29.55	6.23	1.12
26	24.30	8.02	17.84
27	9.34	2.00	9.87
28	1.54	12.33	0.48
29	19.77	29.37	11.55
30	29.96	37.42	2.72
31	24.55	0.86	23.87
32	22.35	34.28	0.01
33	7.45	5.22	2.32
34	12.97	36.07	2.65
35	11.86	14.91	26.54
36	34.20	27.38	1.31
37	34.86	34.72	1.90
38	34.57	29.98	36.81
39	16.63	16.53	37.56
40	32.55	34.21	0.99
41	36.09	37.86	0.33
42	16.91	24.93	25.57
43	1.87	21.17	48.04
44	1.61	9.83	23.11
45	25.44	33.58	2.36
46	17.56	2.93	2.03
47	28.42	33.54	1.80
48	5.73	26.24	44.47
49	22.99	23.58	1.07
50	37.80	35.77	0.50
51	14.40	35.51	6.17
52	3.35	38.28	0.88
53	25.76	18.40	1.99
