NUM DRONES,4
NUM TRUCKS,10
TRUCK CAP,1300.0
DRONE CAP,2.27
TRUCK SPEED,30.0
DRONE SPEED,40.0
DRONE ENDURANCE,0.6
DRONE TIME LIMIT,1.5
TRUCK TIME LIMIT,1.5
TRUCK UNIT COST,1.25
DRONE UNIT COST,0.03
0	10.00	10.00	0.00
1	8.08	0.81	1.90
2	10.07	16.46	1.02
3	8.15	10.68	0.18
4	4.47	3.39	0.93
5	13.91	12.49	1.04
6	13.75	19.07	48.34
7	1.87	10.74	1.82
8	1.88	14.08	0.98
9	17.35	15.64	1.37
10	17.21	16.95	1.04
11	17.80	2.38	18.20
12	8.02	4.22	39.00
13	13.19	7.99	0.98
14	7.04	16.33	1.85
15	3.92	10.07	0.62
16	12.62	4.54	0.86
17	9.75	6.97	1.51
18	15.02	11.41	0.36
19	15.19	4.17	2.21
20	10.72	13.63	1.44
