NUM DRONES,1
NUM TRUCKS,1
TRUCK CAP,20000.00
DRONE CAP,2.27
TRUCK SPEED,30.00
DRONE SPEED,90.00
DRONE ENDURANCE,0.85
DRONE TIME LIMIT,10000.00
TRUCK TIME LIMIT,10000.00
TRUCK UNIT COST,0.00
DRONE UNIT COST,0.00
0	29.77	34.55	0.00
1	41.00	49.00	2.14
2	35.00	17.00	13.28
3	55.00	45.00	65.64
4	55.00	20.00	0.69
5	15.00	30.00	2.16
6	25.00	30.00	1.07
7	20.00	50.00	1.88
8	10.00	43.00	0.65
9	55.00	60.00	0.87
10	30.00	60.00	0.60
11	20.00	65.00	1.15
12	50.00	35.00	1.13
13	30.00	25.00	1.87
14	15.00	10.00	2.22
15	30.00	5.00	1.68
16	10.00	20.00	1.38
17	5.00	30.00	0.26
18	20.00	40.00	1.05
19	15.00	60.00	1.80
20	45.00	65.00	1.24
21	45.00	20.00	1.81
22	45.00	10.00	2.15
23	55.00	5.00	0.54
24	65.00	35.00	0.45
25	65.00	20.00	0.19
26	45.00	30.00	2.00
27	35.00	40.00	1.46
28	41.00	37.00	1.80
29	64.00	42.00	2.01
30	40.00	60.00	1.97
31	31.00	52.00	1.93
32	35.00	69.00	2.10
33	53.00	52.00	1.67
34	65.00	55.00	1.86
35	63.00	65.00	1.61
36	2.00	60.00	0.78
37	20.00	20.00	6.88
38	5.00	5.00	1.25
39	60.00	12.00	1.48
40	40.00	25.00	1.64
41	42.00	7.00	1.03
42	24.00	12.00	8.52
43	23.00	3.00	1.21
44	11.00	14.00	0.37
45	6.00	38.00	2.25
46	2.00	48.00	57.70
47	8.00	56.00	0.78
48	13.00	52.00	0.84
49	6.00	68.00	2.07
50	47.00	47.00	0.75
51	49.00	58.00	2.10
52	27.00	43.00	1.51
53	37.00	31.00	0.73
54	57.00	29.00	2.18
55	63.00	23.00	0.15
56	53.00	12.00	0.68
57	32.00	12.00	0.71
58	36.00	26.00	1.80
59	21.00	24.00	1.14
60	17.00	34.00	1.38
61	12.00	24.00	1.66
62	24.00	58.00	0.70
63	27.00	69.00	0.93
64	15.00	77.00	1.26
65	62.00	77.00	0.15
66	49.00	73.00	0.97
67	67.00	5.00	2.22
68	56.00	39.00	0.67
69	37.00	47.00	0.93
70	37.00	56.00	1.63
71	57.00	68.00	0.63
72	47.00	16.00	2.02
73	44.00	17.00	0.17
74	46.00	13.00	0.17
75	49.00	11.00	0.53
76	49.00	42.00	1.31
77	53.00	43.00	2.01
78	61.00	52.00	0.41
79	57.00	48.00	0.18
80	56.00	37.00	1.04
81	55.00	54.00	0.64
82	15.00	47.00	0.89
83	14.00	37.00	2.09
84	11.00	31.00	0.76
85	16.00	22.00	0.37
86	4.00	18.00	57.59
87	28.00	18.00	1.16
88	26.00	52.00	1.74
89	26.00	35.00	1.90
90	31.00	67.00	3.09
91	15.00	19.00	0.20
92	22.00	22.00	1.94
93	18.00	24.00	1.22
94	26.00	27.00	3.08
95	25.00	24.00	23.50
96	22.00	27.00	2.00
97	25.00	21.00	51.44
98	19.00	21.00	0.46
99	20.00	26.00	0.25
100	18.00	18.00	1.50
101	35.00	35.00	0.00
